occurrence_id	organism_quantity	organism_quantity_type	organism_quantity_type_iri	organism_quantity_type_vocabulary	sex	life_stage	reproductive_condition	caste	behavior	vitality	establishment_means	degree_of_establishment	pathway	occurrence_status	occurrence_remarks	organism_id	organism_scope	organism_scope_iri	organism_scope_vocabulary	organism_name	organism_remarks
38f7161cbb1d693f3ab76a22d75c5def														Present	La semilla la consinguió por su papá y vecinos	b89f2ae3f23827afb8d083e426b4a92a	Multicellular Organism				
b83969fae2531a2ccc507d51c518ca35														Present		b8ac98d5dbeac54a508ac82a6153555b	Multicellular Organism				
82c88d7f425dc583f06e74a4f426827a														Present		b8ae7bbe4d513f49a45bb92ba590631e	Multicellular Organism				
70923a902755f5425b9e191c4e38ee6d														Present		b8f5cb863846c7c0124dd31c4aa51e2a	Multicellular Organism				
37a120d804086493183a8cdca404d6b2														Present		b91e78d6f8a536b7378579c1daacd38f	Multicellular Organism				
55e1d3183c1fae05eca1a88ef741f715														Present		b94a433511274ce0123ce9c0907f22c7	Multicellular Organism				
94c28a4ce86bc9aca25425d2da56838b														Present	Maíz de Cumbre x Tierra Fría	b9616a2ebc93b7d4322f2ffc13ac10bf	Multicellular Organism				
d7957f4d99067339cf2e5e6373f07d86														Present		b99b659a169a0d2cda244af5cbb6423d	Multicellular Organism				
0f4a7b7d0d1e9473b35ef30b954f6173														Present		b9b1c1dca922d455a0db4563de8ad672	Multicellular Organism				
23680c148fe0f364bf3bc27d87039c21														Present		b9ef8794cefa46d895e200bbd4644eef	Multicellular Organism				
584a3a0088c0a683ee590e8cbcb89af7														Present		b9f610c971ea92e0b8782f0319c5ada6	Multicellular Organism				
1345b4b8776df26fca7ca3c4f54f6f28														Present		ba06cca0f1d2cc171dd00eb31f423ee6	Multicellular Organism				
0938cb67403667a6f1d74368d5817e33														Present		ba3dd15061366fad4db2ca180e0d649b	Multicellular Organism				
